07/18/2025 15:24:57.030 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 653 x 517]
07/18/2025 15:24:57.032 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 1921 x 1081]
07/18/2025 15:24:57.036 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
07/18/2025 15:26:20.943 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExA | CreateWindowExA - Creating Final Fantasy XI window. [dwExStyle: 0][dwStyle: -2147483648][Pos: -2147483648 x -2147483648][Size: 1920 x 1080]
07/18/2025 15:26:20.972 | DEBUG    |       Ashita::Hooks::DirectX::Mine_Direct3DCreate8 | Direct3DCreate8 - Creating new Direct3D instance. [SDKVersion: 220]
07/18/2025 15:26:21.044 | DEBUG    |                       newIDirect3D8::newIDirect3D8 | .ctor
07/18/2025 15:26:21.055 | DEBUG    |                        newIDirect3D8::CreateDevice | Creating a new graphics device..
07/18/2025 15:26:21.134 | DEBUG    |           newIDirect3DDevice8::newIDirect3DDevice8 | .ctor
07/18/2025 15:26:21.134 | DEBUG    |                             AshitaCore::GameLoaded | GameLoaded event invoked.
07/18/2025 15:26:21.134 | DEBUG    |                           ResourceManager::Release | <Begin>
07/18/2025 15:26:21.134 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
07/18/2025 15:26:21.134 | DEBUG    |                        ResourceManager::Initialize | <Begin>
07/18/2025 15:26:21.134 | DEBUG    |                           ResourceManager::Release | <Begin>
07/18/2025 15:26:21.134 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
07/18/2025 15:26:21.150 | DEBUG    |                        ResourceManager::Initialize | <End> [Status: Ok!]
07/18/2025 15:26:21.150 | DEBUG    |                            ResourceManager::Update | <Begin>
07/18/2025 15:26:21.150 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\\ashita\ashita.datmap.ini
07/18/2025 15:26:21.155 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\\ashita\custom.datmap.ini
07/18/2025 15:26:21.363 | DEBUG    |                            ResourceManager::Update | Resource parsing completed in: 213.476300ms [Status: 1]
07/18/2025 15:26:21.363 | DEBUG    |                            ResourceManager::Update | <End> [Status: Ok!]
07/18/2025 15:26:21.363 | DEBUG    |                               InputManager::Update | <Begin>
07/18/2025 15:26:21.363 | DEBUG    |                                       Mouse::Mouse | .ctor
07/18/2025 15:26:21.363 | DEBUG    |                                  Mouse::Initialize | <Begin>
07/18/2025 15:26:21.363 | DEBUG    |                                  Mouse::Initialize | <End> [Status: Ok!]
07/18/2025 15:26:21.363 | DEBUG    |                             InputManager::SetMouse | Setting new mouse instance..
07/18/2025 15:26:21.363 | DEBUG    |                               InputManager::Update | <End> [Status: Ok!]
07/18/2025 15:26:21.363 | DEBUG    |                              OffsetManager::Update | <Begin>
07/18/2025 15:26:21.364 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\\ashita\ashita.offsets.ini
07/18/2025 15:26:21.365 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\\ashita\custom.offsets.ini
07/18/2025 15:26:21.365 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: C:\Ashita\Ashita-v4beta\\config\\ashita\custom.offsets.ini
07/18/2025 15:26:21.365 | DEBUG    |                              OffsetManager::Update | <End> [Status: Ok!]
07/18/2025 15:26:21.365 | DEBUG    |                             PointerManager::Update | <Begin>
07/18/2025 15:26:21.365 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\\ashita\ashita.pointers.ini
07/18/2025 15:26:21.367 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita\Ashita-v4beta\\config\\ashita\custom.pointers.ini
07/18/2025 15:26:21.367 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: C:\Ashita\Ashita-v4beta\\config\\ashita\custom.pointers.ini
07/18/2025 15:26:21.371 | DEBUG    |                             PointerManager::Update | Pointer: (0E7CF07C) [Ok!] autofollow
07/18/2025 15:26:21.371 | DEBUG    |                             PointerManager::Update | Pointer: (0E82B2F5) [Ok!] castbar
07/18/2025 15:26:21.371 | DEBUG    |                             PointerManager::Update | Pointer: (0E8D7750) [Ok!] chat.addchatmessage
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E967280) [Ok!] chat.inputtext.this
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E7C1EC2) [Ok!] chat.logfile
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E96A490) [Ok!] chat.parseautotranslate
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E88A385) [Ok!] chat.parseautotranslate.this
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E830BD0) [Ok!] chat.parseinputtext
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E830BF2) [Ok!] chat.parseinputtext.this
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (0E827F8C) [Ok!] clientversion
07/18/2025 15:26:21.372 | DEBUG    |                             PointerManager::Update | Pointer: (04776533) [Ok!] config.autodisconnect
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E968592) [Ok!] config.languagefilter
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E7B3A20) [Ok!] entitymap
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E84579B) [Ok!] entitymap.size
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E89B166) [Ok!] inventory
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E8C8325) [Ok!] inventory.selecteditem
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E90E802) [Ok!] menu
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E88D430) [Ok!] packets.decryptbuffer
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E88D300) [Ok!] packets.encryptbuffer
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E8ABFE0) [Ok!] packets.queuepacket1
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E88DA90) [Ok!] packets.queuepacket2
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E9B0EBB) [Ok!] party
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E848D8F) [Ok!] party.statusicons
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E8F6A5A) [Ok!] player
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E895C50) [Ok!] player.hasability
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E847C94) [Ok!] player.haskeyitem
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E89FCB0) [Ok!] player.hasspell
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E8A0BC0) [Ok!] player.joblevels
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E8A0C00) [Ok!] player.jobmasterlevels
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E83E6AA) [Ok!] player.loginstatus
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E83740F) [Ok!] player.petmp
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E84CD3D) [Ok!] player.pettp
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E9D2694) [Ok!] recast.abilities
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E9D91F2) [Ok!] recast.spells
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E82A427) [Ok!] target.settarget
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer: (0E838A13) [Ok!] target.target
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | Pointer scan completed in: 20.319600ms
07/18/2025 15:26:21.385 | DEBUG    |                             PointerManager::Update | <End> [Status: Ok!]
07/18/2025 15:26:21.385 | DEBUG    |                            FontManager::Initialize | <Begin>
07/18/2025 15:26:21.385 | DEBUG    |                            FontManager::Initialize | <End> [Status: Ok!]
07/18/2025 15:26:21.385 | DEBUG    |                       PrimitiveManager::Initialize | <Begin>
07/18/2025 15:26:21.385 | DEBUG    |                       PrimitiveManager::Initialize | <End> [Status: Ok!]
07/18/2025 15:26:21.385 | DEBUG    |                             GuiManager::Initialize | <Begin>
07/18/2025 15:26:21.386 | DEBUG    |                           GuiManager::PrepareFonts | Loaded Font: Agave_Regular, 18px - is_jp: 0
07/18/2025 15:26:21.387 | DEBUG    |                           GuiManager::PrepareFonts | Loaded Font: Agave_Regular, 24px - is_jp: 0
07/18/2025 15:26:21.389 | DEBUG    |                           GuiManager::PrepareFonts | Loaded Font: Agave_Regular, 32px - is_jp: 0
